sp	sex	index	label
B	M	1	47
B	M	2	47
B	M	3	47
B	M	4	47
B	M	5	47
B	M	6	31
B	M	7	31
B	M	8	23
B	M	9	23
B	M	10	38
B	M	11	37
B	M	12	37
B	M	13	37
B	M	14	37
B	M	15	37
B	M	16	14
B	M	17	29
B	M	18	29
B	M	19	29
B	M	20	45
B	M	21	3
B	M	22	11
B	M	23	3
B	M	24	11
B	M	25	11
B	M	26	11
B	M	27	2
B	M	28	10
B	M	29	19
B	M	30	2
B	M	31	10
B	M	32	18
B	M	33	10
B	M	34	18
B	M	35	17
B	M	36	18
B	M	37	17
B	M	38	9
B	M	39	9
B	M	40	17
B	M	41	16
B	M	42	24
B	M	43	16
B	M	44	32
B	M	45	24
B	M	46	24
B	M	47	32
B	M	48	40
B	M	49	32
B	M	50	40
B	F	1	47
B	F	2	47
B	F	3	47
B	F	4	47
B	F	5	47
B	F	6	39
B	F	7	39
B	F	8	39
B	F	9	46
B	F	10	46
B	F	11	46
B	F	12	31
B	F	13	38
B	F	14	23
B	F	15	23
B	F	16	23
B	F	17	30
B	F	18	38
B	F	19	22
B	F	20	37
B	F	21	37
B	F	22	37
B	F	23	29
B	F	24	37
B	F	25	29
B	F	26	29
B	F	27	45
B	F	28	21
B	F	29	36
B	F	30	36
B	F	31	28
B	F	32	44
B	F	33	19
B	F	34	20
B	F	35	44
B	F	36	28
B	F	37	27
B	F	38	19
B	F	39	19
B	F	40	27
B	F	41	19
B	F	42	26
B	F	43	27
B	F	44	26
B	F	45	26
B	F	46	26
B	F	47	34
B	F	48	25
B	F	49	25
B	F	50	41
O	M	1	47
O	M	2	47
O	M	3	39
O	M	4	46
O	M	5	31
O	M	6	23
O	M	7	15
O	M	8	14
O	M	9	7
O	M	10	14
O	M	11	13
O	M	12	5
O	M	13	5
O	M	14	5
O	M	15	6
O	M	16	6
O	M	17	5
O	M	18	4
O	M	19	5
O	M	20	4
O	M	21	12
O	M	22	4
O	M	23	12
O	M	24	3
O	M	25	3
O	M	26	1
O	M	27	1
O	M	28	2
O	M	29	1
O	M	30	0
O	M	31	9
O	M	32	9
O	M	33	8
O	M	34	8
O	M	35	8
O	M	36	9
O	M	37	9
O	M	38	16
O	M	39	16
O	M	40	24
O	M	41	24
O	M	42	32
O	M	43	32
O	M	44	40
O	M	45	40
O	M	46	40
O	M	47	40
O	M	48	40
O	M	49	40
O	M	50	40
O	F	1	39
O	F	2	46
O	F	3	23
O	F	4	15
O	F	5	22
O	F	6	6
O	F	7	21
O	F	8	13
O	F	9	36
O	F	10	12
O	F	11	12
O	F	12	20
O	F	13	20
O	F	14	28
O	F	15	20
O	F	16	44
O	F	17	20
O	F	18	20
O	F	19	44
O	F	20	44
O	F	21	43
O	F	22	43
O	F	23	35
O	F	24	43
O	F	25	43
O	F	26	25
O	F	27	43
O	F	28	43
O	F	29	34
O	F	30	42
O	F	31	43
O	F	32	42
O	F	33	34
O	F	34	42
O	F	35	42
O	F	36	33
O	F	37	33
O	F	38	33
O	F	39	33
O	F	40	33
O	F	41	33
O	F	42	33
O	F	43	41
O	F	44	33
O	F	45	40
O	F	46	41
O	F	47	41
O	F	48	41
O	F	49	40
O	F	50	40
